Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
58.819009,-0.001464,-0.086376,0.979416,-14.840000,-0.840000,-1.260000
58.819135,-0.001464,-0.082960,0.975024,-14.700000,-0.840000,-1.120000
58.819262,-0.003416,-0.085400,0.969168,-14.560000,-0.840000,-1.120000
58.819389,-0.004392,-0.084912,0.975512,-14.420000,-0.980000,-1.120000
58.819515,-0.005368,-0.092232,0.974048,-14.420000,-0.980000,-1.260000
58.819642,-0.000976,-0.089792,0.972584,-14.420000,-0.980000,-1.260000
58.819769,-0.000976,-0.085400,0.972584,-14.560000,-0.840000,-1.400000
58.819895,-0.001464,-0.086864,0.971608,-14.700000,-0.840000,-1.400000
58.820022,0.001464,-0.089792,0.971120,-14.700000,-0.700000,-1.400000
58.820149,-0.004392,-0.087840,0.967704,-14.840000,-0.700000,-1.540000
58.820275,-0.002928,-0.081008,0.970144,-14.840000,-0.700000,-1.540000
58.820402,-0.002928,-0.083936,0.971608,-14.840000,-0.560000,-1.540000
58.820529,-0.004392,-0.082960,0.976000,-14.840000,-0.560000,-1.540000
58.820655,-0.001464,-0.081496,0.978928,-14.840000,-0.700000,-1.540000
58.820782,0.001464,-0.089304,0.972584,-14.700000,-0.700000,-1.540000
58.820909,-0.002928,-0.088816,0.975024,-14.560000,-0.700000,-1.540000
58.821035,-0.004392,-0.083448,0.973560,-14.420000,-0.700000,-1.540000
58.821162,-0.004392,-0.087840,0.970144,-14.280000,-0.700000,-1.400000
58.821289,0.002440,-0.087352,0.972584,-14.280000,-0.700000,-1.400000
58.821415,0.004392,-0.084912,0.971120,-14.280000,-0.700000,-1.400000
58.821542,-0.002440,-0.082472,0.973072,-14.280000,-0.560000,-1.400000
58.821669,-0.001464,-0.081496,0.968680,-14.280000,-0.560000,-1.260000
58.821795,-0.003416,-0.085400,0.968680,-14.420000,-0.420000,-1.260000
58.821922,-0.005368,-0.088328,0.972096,-14.560000,-0.420000,-1.260000
58.822049,-0.002440,-0.089304,0.971120,-14.560000,-0.280000,-1.260000
58.822175,-0.001952,-0.087352,0.967704,-14.560000,-0.280000,-1.260000
58.822302,-0.002440,-0.085400,0.968192,-14.560000,-0.280000,-1.260000
58.822429,0.000000,-0.084912,0.965264,-14.420000,-0.420000,-1.260000
58.822555,0.000000,-0.085400,0.961848,-14.420000,-0.420000,-1.260000
