Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
0.054633,-0.006344,-0.011712,1.007232,-0.140000,-0.140000,-0.840000
0.054759,-0.010248,-0.017568,1.002352,-0.140000,-0.140000,-0.700000
0.054886,-0.009760,-0.013664,1.003328,0.000000,0.000000,-0.700000
0.055013,-0.007808,-0.013176,1.006256,0.000000,0.000000,-0.560000
0.055140,-0.012200,-0.011224,1.004792,0.140000,0.000000,-0.560000
0.055267,-0.009272,-0.011712,1.007720,0.140000,0.000000,-0.560000
0.055394,-0.008784,-0.010248,1.009184,0.140000,0.000000,-0.560000
0.055521,-0.010736,-0.009272,1.008208,0.140000,0.140000,-0.560000
0.055647,-0.009760,-0.012200,1.011136,0.140000,0.140000,-0.560000
0.055774,-0.009272,-0.008296,1.011136,0.140000,0.140000,-0.560000
0.055901,-0.009272,-0.012200,1.009672,0.000000,0.140000,-0.560000
0.056028,-0.003904,-0.015128,1.013088,-0.140000,0.140000,-0.560000
0.056155,-0.004392,-0.012688,1.011136,-0.140000,0.140000,-0.560000
0.056282,-0.018056,-0.009272,1.007232,-0.280000,0.140000,-0.560000
0.056409,-0.016592,-0.015128,1.008696,-0.280000,0.140000,-0.560000
0.056536,-0.012200,-0.017080,1.012112,-0.280000,0.140000,-0.700000
0.056662,-0.014152,-0.013664,1.007720,-0.140000,0.000000,-0.700000
0.056789,-0.010736,-0.011712,1.005768,-0.140000,0.000000,-0.700000
0.056916,-0.012200,-0.008784,1.006744,0.000000,-0.140000,-0.840000
0.057043,-0.012688,-0.014640,1.011136,0.000000,-0.140000,-0.840000
0.057170,-0.012688,-0.014640,1.011624,0.140000,-0.140000,-0.840000
0.057297,-0.013176,-0.010248,1.011624,0.140000,-0.140000,-0.700000
0.057424,-0.009760,-0.010736,1.010160,0.140000,0.000000,-0.700000
0.057550,-0.014640,-0.009272,1.011624,0.140000,0.000000,-0.560000
0.057677,-0.018056,-0.010736,1.017480,0.140000,0.000000,-0.560000
0.057804,-0.016104,-0.014640,1.013576,0.140000,0.000000,-0.560000
0.057931,-0.013664,-0.015616,1.010160,0.140000,0.140000,-0.700000
0.058058,-0.007320,-0.014152,1.009184,0.140000,0.140000,-0.700000
0.058185,-0.009760,-0.007808,1.011136,0.280000,0.140000,-0.700000
0.058312,-0.014152,-0.009760,1.006256,0.280000,0.140000,-0.700000
0.058438,-0.015128,-0.015128,1.007232,0.280000,0.140000,-0.700000
0.058565,-0.015616,-0.012200,1.013576,0.140000,0.140000,-0.700000
0.058692,-0.014152,-0.009760,1.013088,0.140000,0.000000,-0.700000
0.058819,-0.010248,-0.011224,1.010160,0.000000,0.000000,-0.560000
0.058946,-0.004880,-0.012200,1.011136,-0.140000,0.000000,-0.560000
0.059073,-0.005856,-0.008784,1.007232,-0.140000,0.140000,-0.560000
0.059200,-0.010736,-0.010736,1.003816,-0.140000,0.140000,-0.560000
0.059327,-0.010248,-0.014152,1.008696,0.000000,0.140000,-0.700000
0.059453,-0.009272,-0.012200,1.006744,0.000000,0.140000,-0.700000
0.059580,-0.011712,-0.011224,1.011136,0.140000,0.140000,-0.700000
0.059707,-0.007808,-0.014640,1.010160,0.140000,0.140000,-0.700000
0.059834,-0.007320,-0.011224,1.007232,0.140000,0.140000,-0.700000
0.059961,-0.009272,-0.008784,1.014064,0.000000,0.140000,-0.700000
0.060088,-0.008296,-0.013176,1.009184,-0.140000,0.140000,-0.700000
0.060215,-0.012200,-0.013664,1.012112,-0.280000,0.140000,-0.700000
0.060341,-0.016104,-0.008296,1.011136,-0.280000,0.140000,-0.700000
0.060468,-0.007320,-0.010248,1.007720,-0.280000,0.140000,-0.560000
0.060595,-0.005856,-0.014640,1.017480,-0.140000,0.140000,-0.560000
0.060722,-0.009272,-0.009760,1.012112,0.000000,0.140000,-0.560000
0.060849,-0.008784,-0.010248,1.006256,0.140000,0.140000,-0.700000
0.060976,-0.007320,-0.009760,1.010160,0.280000,0.000000,-0.700000
0.061103,-0.009272,-0.005368,1.008696,0.280000,0.000000,-0.840000
0.061230,-0.008784,-0.009760,1.009184,0.140000,-0.140000,-0.840000
0.061356,-0.010248,-0.013176,1.007720,0.140000,-0.140000,-0.840000
0.061483,-0.010248,-0.014640,1.001864,0.000000,-0.280000,-0.840000
0.061610,-0.010248,-0.017080,1.008696,0.000000,-0.140000,-0.840000
0.061737,-0.009760,-0.013664,1.010648,-0.140000,-0.140000,-0.840000
0.061864,-0.005368,-0.011712,1.007720,-0.140000,0.000000,-0.840000
0.061991,-0.008296,-0.012688,1.005768,0.000000,0.140000,-0.700000
0.062118,-0.007320,-0.013176,1.004792,0.000000,0.280000,-0.700000
0.062244,-0.009760,-0.013664,1.004792,0.140000,0.280000,-0.560000
0.062371,-0.007808,-0.011712,1.006744,0.140000,0.420000,-0.560000
0.062498,-0.006344,-0.009272,1.007720,0.140000,0.280000,-0.560000
0.062625,-0.010736,-0.008296,1.008696,0.140000,0.280000,-0.560000
0.062752,-0.011224,-0.012688,1.007232,0.140000,0.140000,-0.560000
0.062879,-0.010248,-0.012200,1.002840,0.000000,0.000000,-0.560000
0.063006,-0.009760,-0.012200,1.008696,0.000000,0.000000,-0.560000
0.063133,-0.008784,-0.012200,1.006744,0.140000,0.000000,-0.560000
0.063259,-0.008296,-0.011712,1.006256,0.140000,0.000000,-0.560000
0.063386,-0.007320,-0.015616,1.010648,0.140000,0.140000,-0.560000
0.063513,-0.011712,-0.009272,1.012112,0.140000,0.140000,-0.560000
0.063640,-0.008784,-0.008296,1.015040,0.140000,0.000000,-0.560000
0.063767,-0.006344,-0.010248,1.012600,0.140000,0.000000,-0.700000
0.063894,-0.008784,-0.011712,1.006256,0.140000,0.000000,-0.840000
0.064021,-0.010736,-0.013176,1.007720,0.140000,0.000000,-0.840000
0.064147,-0.011712,-0.014640,1.008696,0.140000,0.140000,-0.840000
0.064274,-0.013176,-0.014152,1.007720,0.140000,0.140000,-0.840000
0.064401,-0.009272,-0.010736,1.005280,0.140000,0.280000,-0.700000
0.064528,-0.008296,-0.017080,1.005768,0.140000,0.280000,-0.700000
0.064655,-0.008784,-0.013664,1.004304,0.000000,0.280000,-0.700000
0.064782,-0.008784,-0.013664,1.005768,0.000000,0.280000,-0.700000
0.064909,-0.010736,-0.014152,1.011624,-0.140000,0.280000,-0.700000
0.065035,-0.007808,-0.011224,1.007232,-0.140000,0.140000,-0.700000
0.065162,-0.010736,-0.012200,1.010160,0.000000,0.140000,-0.700000
0.065289,-0.009760,-0.008296,1.016016,0.000000,0.000000,-0.700000
0.065416,-0.009272,-0.010248,1.014552,0.140000,0.000000,-0.840000
0.065543,-0.009760,-0.011224,1.007720,0.140000,0.000000,-0.840000
0.065670,-0.006832,-0.010736,1.006256,0.140000,0.000000,-0.840000
0.065797,-0.005856,-0.013176,1.012600,0.280000,0.000000,-0.840000
0.065924,-0.007320,-0.014640,1.010648,0.140000,0.000000,-0.840000
0.066050,-0.007808,-0.012688,1.007232,0.140000,0.000000,-0.840000
0.066177,-0.010736,-0.011224,1.006744,0.140000,0.000000,-0.700000
0.066304,-0.012200,-0.014152,1.014064,0.140000,0.000000,-0.700000
0.066431,-0.011224,-0.011224,1.015040,0.140000,0.000000,-0.560000
0.066558,-0.008784,-0.012200,1.003816,0.140000,0.000000,-0.560000
0.066685,-0.008784,-0.012200,1.006744,0.140000,0.000000,-0.560000
0.066812,-0.014152,-0.009760,1.004792,0.140000,0.000000,-0.560000
0.066938,-0.014640,-0.013664,1.005280,0.140000,0.000000,-0.560000
0.067065,-0.010736,-0.015128,1.013576,0.140000,0.000000,-0.560000
0.067192,-0.009272,-0.009272,1.013088,0.000000,0.000000,-0.560000
0.067319,-0.007320,-0.009760,1.013576,0.000000,0.000000,-0.560000
0.067446,-0.010736,-0.013664,1.010160,0.000000,0.000000,-0.700000
0.067573,-0.009760,-0.012200,1.006744,0.000000,0.000000,-0.700000
0.067700,-0.005368,-0.013176,1.007232,0.000000,0.000000,-0.700000
0.067827,-0.012200,-0.008296,1.007720,0.000000,0.000000,-0.560000
0.067953,-0.009760,-0.012200,1.011624,-0.140000,0.000000,-0.560000
0.068080,-0.011712,-0.013176,1.010160,-0.140000,0.000000,-0.420000
0.068207,-0.016104,-0.010248,1.010160,-0.280000,0.140000,-0.280000
0.068334,-0.006344,-0.010248,1.010160,-0.280000,0.000000,-0.280000
0.068461,-0.005856,-0.007808,1.007232,-0.280000,0.000000,-0.280000
0.068588,-0.011224,-0.011224,1.007232,-0.140000,0.000000,-0.280000
0.068715,-0.012688,-0.011224,1.009184,-0.140000,-0.140000,-0.420000
0.068841,-0.009272,-0.013664,1.008208,0.000000,-0.140000,-0.420000
0.068968,-0.003904,-0.011712,1.003328,0.140000,-0.140000,-0.560000
0.069095,-0.005856,-0.012688,1.005280,0.140000,0.000000,-0.700000
0.069222,-0.008296,-0.010248,1.009672,0.140000,0.000000,-0.700000
0.069349,-0.009272,-0.005368,1.003816,0.140000,0.140000,-0.700000
0.069476,-0.010248,-0.011712,1.006744,0.140000,0.140000,-0.700000
0.069603,-0.011712,-0.011224,1.011136,0.000000,0.140000,-0.840000
0.069730,-0.009760,-0.007320,1.010160,0.000000,0.000000,-0.840000
0.069856,-0.007808,-0.010248,1.013088,0.000000,0.000000,-0.700000
0.069983,-0.006832,-0.013664,1.008696,0.000000,-0.140000,-0.700000
0.070110,-0.009760,-0.015616,1.006744,0.000000,-0.140000,-0.560000
0.070237,-0.016104,-0.012688,1.009672,0.000000,-0.140000,-0.560000
0.070364,-0.012200,-0.006832,1.014064,0.000000,0.000000,-0.560000
0.070491,-0.009760,-0.011712,1.012112,0.140000,0.000000,-0.700000
0.070618,-0.010248,-0.012688,1.008208,0.140000,0.140000,-0.700000
0.070744,-0.007320,-0.012200,1.009184,0.140000,0.140000,-0.700000
0.070871,-0.007808,-0.011224,1.003816,0.140000,0.140000,-0.700000
0.070998,-0.011224,-0.009760,1.007232,0.000000,0.140000,-0.700000
0.071125,-0.011224,-0.012688,1.009184,-0.140000,0.000000,-0.700000
0.071252,-0.013176,-0.011712,1.009184,-0.140000,0.000000,-0.560000
0.071379,-0.011712,-0.014152,1.008208,-0.280000,0.000000,-0.560000
0.071506,-0.011224,-0.013176,1.006744,-0.280000,0.000000,-0.560000
0.071632,-0.007320,-0.007808,1.013088,-0.280000,0.000000,-0.700000
0.071759,-0.006832,-0.008784,1.012112,-0.280000,0.000000,-0.700000
0.071886,-0.012200,-0.013176,1.006744,-0.140000,0.140000,-0.840000
0.072013,-0.011224,-0.010248,1.008208,0.000000,0.140000,-0.840000
0.072140,-0.010248,-0.007320,1.012600,0.000000,0.280000,-0.840000
0.072267,-0.008784,-0.012688,1.014064,0.140000,0.280000,-0.840000
0.072394,-0.005368,-0.012200,1.005768,0.140000,0.280000,-0.840000
0.072521,-0.007808,-0.013176,1.006744,0.140000,0.140000,-0.700000
0.072647,-0.007320,-0.012688,1.010160,0.140000,0.140000,-0.700000
0.072774,-0.011224,-0.010736,1.006744,0.000000,0.140000,-0.700000
0.072901,-0.014152,-0.007320,1.010160,-0.140000,0.000000,-0.700000
0.073028,-0.010248,-0.010248,1.008696,-0.140000,0.000000,-0.700000
0.073155,-0.009760,-0.015616,1.006744,-0.140000,0.000000,-0.840000
0.073282,-0.010736,-0.015128,1.010160,0.000000,0.000000,-0.840000
0.073409,-0.009272,-0.013176,1.011624,0.000000,0.000000,-0.840000
0.073535,-0.012200,-0.007808,1.007720,0.140000,0.140000,-0.840000
0.073662,-0.011712,-0.010248,1.004304,0.140000,0.140000,-0.840000
0.073789,-0.008296,-0.007808,1.007232,0.140000,0.140000,-0.840000
0.073916,-0.012200,-0.006832,1.008696,0.140000,0.140000,-0.700000
0.074043,-0.007320,-0.012200,1.008208,0.140000,0.140000,-0.560000
0.074170,-0.008296,-0.010736,1.013088,0.140000,0.140000,-0.560000
0.074297,-0.010248,-0.006832,1.013088,0.280000,0.140000,-0.560000
0.074424,-0.006832,-0.008296,1.012600,0.280000,0.140000,-0.420000
0.074550,-0.010248,-0.009272,1.011624,0.280000,0.140000,-0.420000
0.074677,-0.016592,-0.007808,1.009184,0.280000,0.140000,-0.420000
0.074804,-0.015128,-0.009760,1.008696,0.280000,0.140000,-0.420000
0.074931,-0.006344,-0.010736,1.008696,0.280000,0.000000,-0.420000
0.075058,-0.008784,-0.009272,1.011136,0.280000,0.000000,-0.420000
0.075185,-0.001464,-0.006832,1.015040,0.140000,0.000000,-0.420000
0.075312,-0.004392,-0.010248,1.007720,0.140000,-0.140000,-0.560000
0.075438,-0.018544,-0.015616,1.009184,0.140000,0.000000,-0.560000
0.075565,-0.007320,-0.013176,1.007720,0.140000,0.000000,-0.700000
0.075692,-0.006344,-0.007808,1.002840,0.140000,0.000000,-0.700000
0.075819,-0.012688,-0.008296,1.008696,0.140000,0.000000,-0.700000
0.075946,-0.006832,-0.012688,1.009672,0.140000,0.000000,-0.700000
0.076073,-0.008296,-0.009760,1.007720,0.140000,0.140000,-0.700000
0.076200,-0.011712,-0.013176,1.005280,0.140000,0.140000,-0.560000
0.076327,-0.010248,-0.012200,1.008208,0.000000,0.140000,-0.560000
0.076453,-0.008296,-0.011224,1.009184,0.000000,0.140000,-0.420000
0.076580,-0.006832,-0.014152,1.005768,0.000000,0.140000,-0.420000
0.076707,-0.006832,-0.009760,1.004304,0.000000,0.140000,-0.420000
0.076834,-0.007808,-0.008784,1.003816,0.000000,0.140000,-0.420000
0.076961,-0.007320,-0.011712,1.009184,0.000000,0.280000,-0.560000
0.077088,-0.008296,-0.012688,1.007720,0.000000,0.280000,-0.560000
0.077215,-0.006344,-0.011224,1.002840,0.000000,0.140000,-0.700000
0.077341,-0.004880,-0.012200,1.004304,0.000000,0.140000,-0.840000
0.077468,-0.009760,-0.011712,1.008208,0.000000,0.140000,-0.840000
0.077595,-0.011712,-0.009760,1.011136,0.000000,0.000000,-0.840000
0.077722,-0.011224,-0.012200,1.009184,0.000000,0.000000,-0.840000
0.077849,-0.006344,-0.016104,1.007232,-0.140000,-0.140000,-0.700000
0.077976,-0.007808,-0.013176,1.005768,-0.280000,-0.140000,-0.700000
0.078103,-0.009272,-0.008296,1.009184,-0.280000,-0.140000,-0.560000
0.078229,-0.005368,-0.011712,1.007232,-0.280000,-0.140000,-0.420000
0.078356,-0.008296,-0.014640,1.006744,-0.280000,-0.140000,-0.420000
0.078483,-0.010248,-0.013176,1.010648,-0.140000,0.000000,-0.420000
0.078610,-0.007808,-0.008296,1.007720,0.000000,0.140000,-0.420000
0.078737,-0.010736,-0.010736,1.010160,0.000000,0.140000,-0.560000
0.078864,-0.011224,-0.011224,1.016504,0.000000,0.280000,-0.560000
0.078991,-0.006344,-0.010736,1.012600,0.000000,0.280000,-0.560000
0.079118,-0.008784,-0.011712,1.011624,-0.140000,0.280000,-0.560000
0.079244,-0.009272,-0.007320,1.011624,-0.140000,0.140000,-0.700000
0.079371,-0.010248,-0.012200,1.011624,-0.140000,0.140000,-0.700000
0.079498,-0.009760,-0.015616,1.009184,-0.140000,0.140000,-0.700000
0.079625,-0.012200,-0.011712,1.016016,0.000000,0.140000,-0.700000
0.079752,-0.012688,-0.011224,1.016016,0.000000,0.140000,-0.700000
0.079879,-0.007808,-0.008296,1.006256,0.140000,0.140000,-0.700000
0.080006,-0.007320,-0.013176,1.012112,0.140000,0.140000,-0.700000
0.080132,-0.009272,-0.015616,1.013576,0.140000,0.140000,-0.700000
0.080259,-0.010248,-0.007808,1.006744,0.140000,0.280000,-0.700000
0.080386,-0.009760,-0.013176,1.012600,0.000000,0.280000,-0.700000
0.080513,-0.006832,-0.010248,1.014064,0.000000,0.280000,-0.560000
0.080640,-0.012688,-0.008296,1.008208,-0.140000,0.140000,-0.560000
0.080767,-0.013664,-0.008784,1.005768,-0.140000,0.140000,-0.560000
0.080894,-0.009760,-0.006344,1.000888,-0.140000,0.140000,-0.560000
0.081021,-0.015128,-0.012200,1.004304,-0.140000,0.000000,-0.560000
0.081147,-0.012200,-0.013664,1.008696,-0.140000,0.140000,-0.700000
0.081274,-0.008296,-0.013176,1.009184,0.000000,0.140000,-0.700000
0.081401,-0.009272,-0.009272,1.006256,0.000000,0.280000,-0.840000
0.081528,-0.008784,-0.010736,1.007232,0.000000,0.280000,-0.840000
0.081655,-0.012200,-0.013176,1.012600,-0.140000,0.280000,-0.840000
0.081782,-0.014640,-0.011712,1.006744,-0.140000,0.280000,-0.700000
0.081909,-0.010248,-0.014152,1.005280,-0.140000,0.280000,-0.700000
0.082035,-0.010248,-0.011712,1.009184,0.000000,0.280000,-0.560000
0.082162,-0.010736,-0.016104,1.006256,0.000000,0.280000,-0.560000
0.082289,-0.009272,-0.017080,1.012112,0.000000,0.280000,-0.560000
0.082416,-0.011224,-0.009760,1.010160,0.000000,0.280000,-0.560000
0.082543,-0.011712,-0.014640,1.008208,0.000000,0.280000,-0.560000
0.082670,-0.012200,-0.011224,1.006744,-0.140000,0.280000,-0.560000
0.082797,-0.013664,-0.006832,1.001864,-0.140000,0.140000,-0.560000
0.082924,-0.007808,-0.012200,1.009184,-0.140000,0.140000,-0.560000
0.083050,-0.007320,-0.009272,1.009672,-0.140000,0.140000,-0.420000
0.083177,-0.011712,-0.009272,1.013576,-0.140000,0.140000,-0.420000
0.083304,-0.012200,-0.009272,1.018456,-0.140000,0.140000,-0.420000
0.083431,-0.012688,-0.011224,1.012600,-0.140000,0.280000,-0.420000
0.083558,-0.012200,-0.013176,1.005768,-0.140000,0.280000,-0.420000
0.083685,-0.009272,-0.008296,1.008208,-0.140000,0.280000,-0.560000
0.083812,-0.005368,-0.011224,1.011624,0.000000,0.280000,-0.700000
0.083938,-0.006832,-0.011712,1.013088,0.000000,0.140000,-0.840000
0.084065,-0.008784,-0.007320,1.015040,0.000000,0.140000,-0.840000
0.084192,-0.008784,-0.012200,1.015040,0.000000,0.140000,-0.840000
0.084319,-0.006344,-0.010248,1.013576,0.000000,0.000000,-0.840000
0.084446,-0.004392,-0.009760,1.005280,0.000000,0.000000,-0.840000
0.084573,-0.008784,-0.013176,1.006256,-0.140000,0.000000,-0.700000
0.084700,-0.010248,-0.006344,1.013576,-0.140000,0.000000,-0.700000
0.084826,-0.010736,-0.007320,1.008208,-0.140000,0.000000,-0.700000
0.084953,-0.012200,-0.015616,1.006744,-0.140000,0.000000,-0.700000
0.085080,-0.007320,-0.010248,1.009184,0.000000,0.000000,-0.560000
0.085207,-0.009272,-0.009272,1.013088,0.140000,0.000000,-0.560000
0.085334,-0.010248,-0.012200,1.013088,0.280000,-0.140000,-0.560000
0.085461,-0.010248,-0.013176,1.010160,0.280000,-0.140000,-0.420000
0.085588,-0.009272,-0.013176,1.014552,0.280000,0.000000,-0.420000
0.085715,-0.006832,-0.009760,1.013576,0.140000,0.000000,-0.420000
0.085841,-0.009760,-0.008296,1.014552,0.000000,0.000000,-0.420000
0.085968,-0.006344,-0.006832,1.014064,-0.140000,0.000000,-0.420000
0.086095,-0.008296,-0.012200,1.014552,-0.140000,0.000000,-0.560000
0.086222,-0.005856,-0.013664,1.011136,-0.140000,0.000000,-0.560000
0.086349,-0.007808,-0.012200,1.008696,0.000000,-0.140000,-0.700000
0.086476,-0.007808,-0.012688,1.009672,0.000000,-0.140000,-0.700000
0.086603,-0.005368,-0.011712,1.009184,0.140000,-0.140000,-0.840000
0.086729,-0.007808,-0.013176,1.011624,0.000000,-0.140000,-0.840000
0.086856,-0.008296,-0.016104,1.005768,0.000000,0.000000,-0.840000
0.086983,-0.009272,-0.012200,1.005768,0.000000,0.000000,-0.840000
0.087110,-0.010736,-0.008784,1.010648,-0.140000,0.000000,-0.700000
0.087237,-0.014640,-0.012688,1.011136,-0.140000,0.000000,-0.700000
0.087364,-0.011224,-0.015616,1.011624,0.000000,0.000000,-0.560000
