Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
66.344953,0.070760,0.120536,1.040904,-0.420000,4.060000,0.420000
66.345079,0.070760,0.119560,1.039928,-0.560000,4.060000,0.420000
66.345206,0.073200,0.121512,1.041880,-0.700000,3.920000,0.420000
66.345333,0.072712,0.118584,1.045784,-0.700000,3.920000,0.560000
66.345459,0.076128,0.118584,1.047248,-0.840000,3.780000,0.560000
66.345586,0.074664,0.122000,1.044320,-0.840000,3.780000,0.560000
66.345713,0.074176,0.119560,1.041880,-0.840000,3.640000,0.560000
66.345839,0.076128,0.122000,1.047736,-0.840000,3.500000,0.560000
66.345966,0.074176,0.124440,1.049688,-0.980000,3.500000,0.560000
66.346093,0.074176,0.119560,1.048712,-0.980000,3.500000,0.420000
66.346219,0.077104,0.122000,1.046272,-1.120000,3.500000,0.420000
66.346346,0.079056,0.123464,1.049200,-1.260000,3.500000,0.560000
66.346472,0.081008,0.118584,1.053104,-1.400000,3.500000,0.700000
66.346599,0.077104,0.121024,1.049200,-1.400000,3.500000,0.700000
66.346726,0.077104,0.122000,1.049688,-1.540000,3.500000,0.840000
66.346852,0.078568,0.117608,1.051640,-1.540000,3.500000,0.840000
66.346979,0.075152,0.119560,1.048712,-1.680000,3.500000,0.840000
66.347106,0.076128,0.117120,1.052128,-1.820000,3.360000,0.700000
66.347232,0.080032,0.115656,1.053592,-1.960000,3.360000,0.700000
66.347359,0.080032,0.118584,1.048224,-2.100000,3.360000,0.700000
66.347486,0.076616,0.116632,1.049200,-2.240000,3.360000,0.840000
66.347612,0.078568,0.116632,1.055056,-2.380000,3.360000,0.840000
66.347739,0.077592,0.116632,1.054080,-2.520000,3.500000,0.840000
66.347866,0.076128,0.113704,1.051152,-2.520000,3.500000,0.980000
66.347992,0.077592,0.114192,1.050664,-2.520000,3.500000,0.980000
66.348119,0.080032,0.120536,1.053104,-2.660000,3.500000,0.840000
66.348246,0.076128,0.121512,1.055056,-2.660000,3.500000,0.840000
66.348372,0.078080,0.119560,1.053592,-2.660000,3.500000,0.840000
66.348499,0.077592,0.121512,1.053592,-2.800000,3.500000,0.840000
66.348626,0.075640,0.117120,1.053104,-2.940000,3.500000,0.840000
66.348752,0.079056,0.117608,1.049200,-3.080000,3.500000,0.980000
66.348879,0.079544,0.117120,1.048712,-3.220000,3.500000,0.980000
66.349006,0.078080,0.114192,1.047736,-3.360000,3.500000,1.120000
66.349132,0.082472,0.114192,1.049688,-3.360000,3.360000,1.120000
66.349259,0.080032,0.111752,1.053592,-3.360000,3.360000,1.120000
66.349386,0.074664,0.114192,1.049688,-3.360000,3.500000,1.120000
66.349512,0.076128,0.119072,1.053592,-3.360000,3.500000,1.120000
66.349639,0.076616,0.115168,1.050664,-3.360000,3.500000,1.120000
66.349766,0.076616,0.114680,1.046760,-3.360000,3.500000,1.120000
66.349892,0.076128,0.121024,1.053592,-3.500000,3.500000,1.260000
66.350019,0.078080,0.120048,1.057496,-3.640000,3.500000,1.260000
66.350145,0.077104,0.117120,1.056520,-3.780000,3.360000,1.400000
66.350272,0.074664,0.118096,1.053592,-3.920000,3.360000,1.400000
66.350399,0.074176,0.115168,1.050664,-4.060000,3.360000,1.260000
66.350525,0.076616,0.116632,1.050176,-4.200000,3.360000,1.260000
66.350652,0.077104,0.120536,1.049688,-4.340000,3.360000,1.260000
66.350779,0.079056,0.113704,1.048224,-4.340000,3.500000,1.120000
66.350905,0.075640,0.117120,1.052128,-4.340000,3.500000,1.120000
