Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
76.209959,0.149328,0.052704,0.976000,26.460001,-17.920000,-6.020000
76.210086,0.146888,0.052704,0.982832,26.320000,-17.920000,-6.020000
76.210212,0.143472,0.049776,0.981856,26.320000,-17.920000,-6.020000
76.210339,0.145424,0.048312,0.976976,26.180000,-17.920000,-6.020000
76.210465,0.144936,0.052704,0.978440,26.180000,-17.920000,-6.020000
76.210592,0.139568,0.050264,0.977952,26.180000,-17.780001,-6.020000
76.210719,0.142008,0.049776,0.975512,26.040001,-17.780001,-6.020000
76.210845,0.143960,0.055144,0.980880,25.900000,-17.780001,-6.020000
76.210972,0.142984,0.050752,0.983808,25.900000,-17.639999,-6.020000
76.211099,0.144448,0.055632,0.976000,25.760000,-17.639999,-6.020000
76.211225,0.145912,0.055632,0.977464,25.620001,-17.639999,-6.160000
76.211352,0.147376,0.054656,0.976976,25.480000,-17.500000,-6.160000
76.211479,0.143960,0.055144,0.977952,25.480000,-17.500000,-6.160000
76.211605,0.145912,0.052704,0.976976,25.340000,-17.500000,-6.160000
76.211732,0.145912,0.049288,0.975024,25.340000,-17.500000,-6.160000
76.211859,0.141032,0.049288,0.984296,25.340000,-17.360001,-6.020000
76.211985,0.142496,0.051728,0.979904,25.340000,-17.360001,-6.020000
76.212112,0.143472,0.052704,0.976976,25.200001,-17.360001,-6.160000
76.212239,0.142496,0.054168,0.983808,25.059999,-17.360001,-6.160000
76.212365,0.144936,0.046848,0.978440,25.059999,-17.360001,-6.300000
76.212492,0.143960,0.053192,0.979904,24.920000,-17.360001,-6.440000
76.212619,0.142008,0.059536,0.979904,24.780001,-17.360001,-6.440000
76.212745,0.145912,0.053680,0.978440,24.780001,-17.360001,-6.440000
76.212872,0.142008,0.055144,0.975512,24.780001,-17.360001,-6.580000
76.212999,0.142984,0.057096,0.973072,24.780001,-17.360001,-6.580000
76.213125,0.146888,0.056120,0.975024,24.780001,-17.360001,-6.580000
76.213252,0.145424,0.056608,0.974048,24.639999,-17.360001,-6.580000
76.213379,0.142008,0.060024,0.975024,24.500000,-17.360001,-6.580000
76.213505,0.141520,0.060512,0.973072,24.360001,-17.360001,-6.580000
76.213632,0.143960,0.054656,0.977464,24.219999,-17.360001,-6.720000
76.213758,0.143960,0.054168,0.976488,24.080000,-17.360001,-6.720000
76.213885,0.138592,0.056120,0.981368,24.080000,-17.360001,-6.720000
76.214012,0.140544,0.055144,0.982344,23.940001,-17.360001,-6.720000
