Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
27.103958,-0.010248,-0.011712,1.006256,-0.280000,0.000000,-0.700000
27.104084,-0.010248,-0.012688,1.003328,-0.280000,0.000000,-0.700000
27.104211,-0.008296,-0.010736,1.009672,-0.140000,0.000000,-0.700000
27.104338,-0.007320,-0.009760,1.011136,-0.140000,0.000000,-0.560000
27.104464,-0.009272,-0.009272,1.005280,0.000000,0.000000,-0.560000
27.104591,-0.008784,-0.011224,1.005280,0.000000,0.000000,-0.560000
27.104718,-0.007320,-0.013176,1.000888,0.000000,0.000000,-0.560000
27.104844,-0.005856,-0.012688,1.000400,-0.140000,0.000000,-0.560000
27.104971,-0.005368,-0.014152,1.001376,-0.140000,0.000000,-0.560000
27.105098,-0.006344,-0.014640,1.001864,-0.280000,0.000000,-0.700000
27.105224,-0.008784,-0.011224,1.003816,-0.280000,0.000000,-0.700000
27.105351,-0.012200,-0.013664,1.002840,-0.280000,0.000000,-0.840000
27.105478,-0.008296,-0.012200,1.005768,-0.280000,0.000000,-0.840000
27.105604,-0.007320,-0.012200,1.004792,-0.140000,0.000000,-0.840000
27.105731,-0.011224,-0.014640,1.006744,0.000000,0.000000,-0.700000
27.105858,-0.007320,-0.013176,1.010648,0.140000,-0.140000,-0.700000
27.105984,-0.006344,-0.013664,1.006744,0.140000,-0.140000,-0.560000
27.106111,-0.008296,-0.011712,1.006256,0.280000,-0.140000,-0.420000
27.106238,-0.007320,-0.010248,1.009184,0.280000,0.000000,-0.420000
27.106364,-0.007320,-0.013176,1.010160,0.140000,0.000000,-0.560000
27.106491,-0.008296,-0.008296,1.007232,0.140000,0.000000,-0.560000
27.106618,-0.008784,-0.009760,1.007720,0.000000,0.140000,-0.700000
27.106744,-0.009272,-0.015616,1.013576,-0.140000,0.000000,-0.700000
27.106871,-0.010736,-0.011224,1.013576,-0.140000,0.000000,-0.700000
27.106998,-0.008296,-0.009760,1.011624,-0.140000,0.000000,-0.560000
27.107124,-0.009760,-0.008296,1.010648,0.000000,0.000000,-0.560000
27.107251,-0.007808,-0.013664,1.009672,0.000000,0.000000,-0.560000
27.107378,-0.007320,-0.013664,1.010160,0.000000,0.000000,-0.420000
27.107504,-0.008784,-0.011712,1.007720,0.000000,0.000000,-0.560000
27.107631,-0.006344,-0.014640,1.010160,0.000000,0.000000,-0.560000
27.107757,-0.007320,-0.011712,1.009184,0.000000,0.000000,-0.560000
27.107884,-0.005856,-0.006832,1.009184,0.140000,0.000000,-0.560000
27.108011,-0.004392,-0.013176,1.015040,0.140000,0.000000,-0.560000
27.108137,-0.008784,-0.015128,1.009184,0.000000,0.000000,-0.560000
27.108264,-0.010736,-0.010736,1.009672,0.000000,0.000000,-0.560000
27.108391,-0.005368,-0.011224,1.015528,-0.140000,0.000000,-0.560000
27.108517,-0.009760,-0.010736,1.015040,-0.140000,0.140000,-0.560000
27.108644,-0.014152,-0.007808,1.009184,-0.140000,0.140000,-0.560000
27.108771,-0.012200,-0.006832,1.004792,-0.140000,0.140000,-0.560000
27.108897,-0.009760,-0.008784,1.007720,0.000000,0.140000,-0.560000
27.109024,-0.011712,-0.007808,1.003816,0.000000,0.140000,-0.560000
27.109151,-0.015616,-0.008296,1.008696,0.140000,0.000000,-0.560000
27.109277,-0.008784,-0.009760,1.011624,0.280000,0.000000,-0.420000
27.109404,-0.008296,-0.011712,1.004792,0.280000,0.000000,-0.560000
27.109531,-0.010736,-0.010248,1.006256,0.280000,0.000000,-0.560000
27.109657,-0.011712,-0.012200,1.005280,0.280000,0.000000,-0.560000
27.109784,-0.013176,-0.014152,1.008208,0.140000,0.000000,-0.560000
27.109911,-0.005856,-0.010248,1.008696,0.000000,0.000000,-0.560000
27.110037,-0.009272,-0.011712,1.002840,-0.140000,0.140000,-0.560000
27.110164,-0.016592,-0.012688,1.004792,-0.140000,0.140000,-0.700000
27.110291,-0.010248,-0.011712,1.009672,-0.140000,0.140000,-0.700000
27.110417,-0.010248,-0.012200,1.005768,0.000000,0.140000,-0.700000
27.110544,-0.013176,-0.009272,1.001864,0.000000,0.280000,-0.700000
27.110671,-0.010736,-0.013176,1.002352,0.140000,0.280000,-0.560000
27.110797,-0.012688,-0.012200,1.003328,0.140000,0.280000,-0.560000
27.110924,-0.008296,-0.010736,1.003816,0.140000,0.280000,-0.420000
27.111050,-0.008296,-0.015616,1.002840,0.000000,0.140000,-0.420000
27.111177,-0.010248,-0.012200,1.006744,0.000000,0.140000,-0.280000
27.111304,-0.008784,-0.011712,1.003328,0.000000,0.140000,-0.280000
27.111430,-0.007320,-0.014640,1.003328,0.000000,0.140000,-0.420000
27.111557,-0.007320,-0.010736,1.007720,0.000000,0.140000,-0.420000
27.111684,-0.010736,-0.007808,1.007232,0.140000,0.140000,-0.420000
27.111810,-0.007808,-0.007808,1.011136,0.140000,0.140000,-0.560000
27.111937,-0.007808,-0.010248,1.010648,0.140000,0.140000,-0.560000
27.112064,-0.009760,-0.013664,1.012112,0.140000,0.140000,-0.700000
27.112190,-0.006832,-0.013664,1.012600,0.140000,0.140000,-0.700000
27.112317,-0.003416,-0.009760,1.008208,0.140000,0.140000,-0.700000
27.112444,-0.004880,-0.011224,1.011624,0.140000,0.140000,-0.560000
27.112570,-0.009272,-0.010248,1.009672,0.140000,0.140000,-0.560000
