Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
36.690942,-0.044896,0.145912,1.022848,-6.580000,14.000000,14.700000
36.691069,-0.046360,0.142984,1.026264,-6.580000,14.000000,14.700000
36.691195,-0.037576,0.148352,1.033096,-6.440000,14.000000,14.700000
36.691322,-0.039528,0.151280,1.022848,-6.440000,13.860000,14.700000
36.691449,-0.040016,0.140544,1.017968,-6.580000,13.860000,14.700000
36.691575,-0.034160,0.142496,1.017480,-6.580000,13.720000,14.700000
36.691702,-0.038064,0.142496,1.021384,-6.720000,13.720000,14.700000
36.691829,-0.036112,0.140056,1.019920,-6.720000,13.720000,14.700000
36.691955,-0.036600,0.144936,1.019432,-6.720000,13.720000,14.840000
36.692082,-0.038552,0.144936,1.023824,-6.580000,13.720000,14.840000
36.692209,-0.039040,0.148840,1.027240,-6.580000,13.720000,14.840000
36.692335,-0.041480,0.145424,1.030656,-6.440000,13.720000,14.840000
36.692462,-0.042456,0.142008,1.020896,-6.440000,13.580000,14.980000
36.692589,-0.041968,0.146400,1.026264,-6.300000,13.580000,14.980000
36.692715,-0.043920,0.144936,1.033584,-6.300000,13.580000,15.120000
36.692842,-0.048800,0.147864,1.027240,-6.300000,13.440001,15.120000
36.692968,-0.048312,0.153720,1.025776,-6.300000,13.440001,15.260000
36.693095,-0.047824,0.154208,1.026264,-6.300000,13.440001,15.260000
36.693222,-0.049288,0.152256,1.025288,-6.300000,13.300000,15.260000
36.693348,-0.047336,0.149328,1.030656,-6.300000,13.300000,15.260000
36.693475,-0.048800,0.151768,1.032120,-6.300000,13.300000,15.120000
36.693602,-0.049776,0.146888,1.024800,-6.300000,13.300000,15.120000
36.693728,-0.044408,0.143472,1.027240,-6.300000,13.300000,15.120000
36.693855,-0.046848,0.145424,1.027240,-6.300000,13.300000,15.120000
36.693982,-0.046360,0.140056,1.021384,-6.300000,13.160000,15.120000
36.694108,-0.043920,0.138592,1.018944,-6.300000,13.160000,15.120000
36.694235,-0.050264,0.141520,1.019920,-6.300000,13.160000,15.120000
36.694362,-0.048800,0.145424,1.020408,-6.300000,13.020000,15.120000
36.694488,-0.047824,0.141520,1.019920,-6.160000,12.880000,15.120000
36.694615,-0.051728,0.140056,1.023336,-6.020000,12.880000,15.120000
36.694742,-0.052216,0.136640,1.025776,-5.880000,12.740000,15.260000
36.694868,-0.054168,0.140544,1.022848,-5.880000,12.740000,15.260000
36.694995,-0.051240,0.142496,1.022848,-5.880000,12.740000,15.260000
36.695122,-0.051240,0.142008,1.024312,-6.020000,12.740000,15.120000
36.695248,-0.050752,0.140056,1.016016,-6.160000,12.740000,15.120000
36.695375,-0.051240,0.136152,1.015528,-6.300000,12.740000,15.120000
36.695502,-0.054168,0.142496,1.015040,-6.300000,12.600000,15.120000
36.695628,-0.052216,0.141032,1.011624,-6.300000,12.600000,15.260000
36.695755,-0.046360,0.140544,1.016016,-6.160000,12.460000,15.260000
36.695882,-0.049288,0.142496,1.016016,-6.020000,12.460000,15.260000
36.696008,-0.054168,0.145424,1.010648,-5.880000,12.460000,15.400000
36.696135,-0.050752,0.145424,1.010160,-5.740000,12.320000,15.400000
36.696261,-0.049776,0.140544,1.010160,-5.740000,12.320000,15.400000
36.696388,-0.057096,0.141520,1.008208,-5.880000,12.320000,15.400000
36.696515,-0.054656,0.144448,1.014552,-5.880000,12.320000,15.400000
36.696641,-0.051240,0.144936,1.012600,-6.020000,12.180000,15.260000
36.696768,-0.056120,0.143960,1.011136,-6.020000,12.180000,15.260000
36.696895,-0.053680,0.146400,1.020896,-6.020000,12.040000,15.260000
36.697021,-0.054656,0.145424,1.020896,-6.020000,12.040000,15.260000
36.697148,-0.053680,0.147864,1.021872,-5.880000,12.040000,15.260000
36.697275,-0.055144,0.146888,1.026752,-5.880000,12.040000,15.260000
36.697401,-0.054168,0.140056,1.021384,-5.740000,11.900000,15.260000
36.697528,-0.054168,0.139568,1.023824,-5.600000,11.900000,15.120000
36.697655,-0.058560,0.141032,1.029192,-5.460000,11.900000,15.120000
36.697781,-0.057584,0.142008,1.022360,-5.460000,11.760000,15.120000
36.697908,-0.057584,0.141520,1.020896,-5.460000,11.620000,14.980000
36.698035,-0.058072,0.142008,1.021872,-5.600000,11.480000,15.120000
36.698161,-0.058072,0.140056,1.026752,-5.740000,11.340000,15.260000
36.698288,-0.063440,0.140544,1.026264,-5.740000,11.200000,15.260000
36.698415,-0.062952,0.137128,1.024312,-5.880000,11.200000,15.400000
36.698541,-0.061488,0.136640,1.023824,-5.880000,11.200000,15.540000
36.698668,-0.061976,0.136640,1.017480,-5.880000,11.200000,15.540000
36.698795,-0.060024,0.134688,1.021872,-5.740000,11.200000,15.540000
36.698921,-0.058072,0.135176,1.018944,-5.740000,11.200000,15.400000
36.699048,-0.062464,0.140544,1.018944,-5.740000,11.200000,15.400000
36.699175,-0.067344,0.141032,1.020408,-5.600000,11.060000,15.400000
36.699301,-0.064904,0.141520,1.018944,-5.600000,10.780000,15.400000
36.699428,-0.060024,0.143960,1.025776,-5.740000,10.640000,15.260000
36.699555,-0.059536,0.145424,1.029680,-5.740000,10.500000,15.260000
36.699681,-0.069296,0.145912,1.035048,-5.740000,10.360000,15.400000
36.699808,-0.068320,0.139568,1.029680,-5.600000,10.220000,15.400000
36.699934,-0.061976,0.142496,1.024312,-5.600000,10.220000,15.540000
36.700061,-0.062952,0.143960,1.027728,-5.600000,10.080000,15.540000
36.700188,-0.065392,0.143960,1.022360,-5.600000,10.080000,15.680000
36.700314,-0.061976,0.142984,1.019432,-5.600000,9.940000,15.680000
36.700441,-0.055632,0.136152,1.014552,-5.600000,9.800000,15.680000
36.700568,-0.057584,0.138592,1.011136,-5.600000,9.660000,15.680000
36.700694,-0.061488,0.138104,1.014064,-5.600000,9.520000,15.680000
36.700821,-0.057584,0.138104,1.010648,-5.600000,9.240000,15.680000
36.700948,-0.055632,0.135176,1.009672,-5.600000,9.100000,15.680000
36.701074,-0.056120,0.137128,1.015528,-5.600000,8.960000,15.540000
36.701201,-0.058072,0.140056,1.016504,-5.600000,8.820000,15.540000
36.701328,-0.053192,0.139568,1.020408,-5.600000,8.820000,15.400000
36.701454,-0.055632,0.140544,1.021872,-5.600000,8.680000,15.400000
36.701581,-0.059536,0.134200,1.021872,-5.600000,8.680000,15.400000
36.701708,-0.059536,0.139080,1.019432,-5.740000,8.680000,15.400000
36.701834,-0.059048,0.139568,1.016992,-5.740000,8.680000,15.540000
36.701961,-0.051728,0.137616,1.017480,-5.600000,8.680000,15.540000
36.702088,-0.049776,0.140056,1.012600,-5.600000,8.680000,15.540000
