Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
47.041022,0.138592,0.313296,0.970144,-28.280001,31.360001,-24.080000
47.041148,0.138104,0.313296,0.972096,-28.139999,31.360001,-23.940001
47.041275,0.134688,0.312808,0.968192,-27.860001,31.500000,-23.940001
47.041402,0.137128,0.309880,0.968680,-27.719999,31.360001,-23.799999
47.041528,0.142008,0.309392,0.965264,-27.580000,31.360001,-23.799999
47.041655,0.140056,0.311344,0.966728,-27.299999,31.360001,-23.940001
47.041782,0.140544,0.309392,0.973072,-27.160000,31.219999,-23.940001
47.041908,0.138592,0.306952,0.966728,-26.880001,31.080000,-23.940001
47.042035,0.138592,0.309392,0.967704,-26.600000,31.080000,-23.799999
47.042162,0.139080,0.309880,0.970144,-26.320000,31.080000,-23.799999
47.042288,0.139080,0.311344,0.970144,-26.180000,31.080000,-23.660000
47.042415,0.141520,0.307928,0.966240,-26.040001,31.080000,-23.660000
47.042542,0.139568,0.305000,0.966728,-25.900000,31.080000,-23.660000
47.042668,0.141520,0.312808,0.970632,-25.760000,31.219999,-23.520000
47.042795,0.141032,0.310856,0.968192,-25.620001,31.219999,-23.520000
47.042922,0.136152,0.307440,0.973560,-25.480000,31.080000,-23.520000
47.043048,0.142008,0.308416,0.974048,-25.200001,31.080000,-23.520000
47.043175,0.144936,0.304024,0.976488,-25.059999,30.940001,-23.520000
47.043302,0.136640,0.305488,0.975024,-24.780001,30.940001,-23.520000
47.043428,0.135664,0.305000,0.973072,-24.639999,30.799999,-23.520000
47.043555,0.139080,0.305000,0.974048,-24.360001,30.799999,-23.520000
47.043681,0.138592,0.307928,0.972584,-24.080000,30.799999,-23.520000
47.043808,0.140056,0.305976,0.975024,-23.940001,30.799999,-23.379999
47.043935,0.139568,0.304024,0.980880,-23.799999,30.799999,-23.379999
47.044061,0.143472,0.301584,0.981368,-23.660000,30.799999,-23.379999
47.044188,0.144448,0.300120,0.979416,-23.520000,30.660000,-23.379999
47.044315,0.140544,0.301096,0.980392,-23.240000,30.660000,-23.379999
47.044441,0.141032,0.303536,0.975024,-23.100000,30.660000,-23.379999
47.044568,0.139568,0.302560,0.978928,-22.820000,30.660000,-23.240000
47.044695,0.145912,0.299632,0.974536,-22.540001,30.660000,-23.240000
47.044821,0.145424,0.300120,0.979416,-22.260000,30.660000,-23.240000
47.044948,0.137128,0.302560,0.985760,-22.120001,30.660000,-23.240000
47.045075,0.141520,0.296216,0.977464,-21.840000,30.520000,-23.240000
47.045201,0.145424,0.298168,0.983320,-21.700001,30.660000,-23.379999
47.045328,0.138104,0.302072,0.987224,-21.700001,30.660000,-23.379999
47.045455,0.140056,0.295728,0.989176,-21.559999,30.660000,-23.379999
47.045581,0.146888,0.295240,0.984784,-21.420000,30.520000,-23.379999
47.045708,0.145424,0.295728,0.984784,-21.139999,30.520000,-23.379999
47.045835,0.146888,0.294264,0.986736,-21.000000,30.520000,-23.379999
47.045961,0.142496,0.296704,0.986736,-20.860001,30.520000,-23.379999
47.046088,0.138592,0.290848,0.988688,-20.580000,30.520000,-23.240000
47.046215,0.141032,0.287432,0.989664,-20.299999,30.520000,-23.240000
47.046341,0.143472,0.295728,0.985272,-20.160000,30.520000,-23.240000
47.046468,0.140056,0.292800,0.986248,-19.879999,30.520000,-23.240000
47.046595,0.137616,0.286456,0.985272,-19.600000,30.520000,-23.100000
47.046721,0.146400,0.290360,0.987224,-19.460001,30.520000,-23.100000
47.046848,0.144448,0.290360,0.993080,-19.180000,30.520000,-23.240000
47.046975,0.142984,0.288408,0.986248,-19.040001,30.520000,-23.240000
47.047101,0.142984,0.296704,0.989664,-18.900000,30.520000,-23.240000
47.047228,0.141520,0.292312,0.992592,-18.760000,30.520000,-23.240000
47.047354,0.141032,0.285480,0.984784,-18.620001,30.380001,-23.240000
47.047481,0.142008,0.289872,0.986736,-18.340000,30.240000,-23.100000
47.047608,0.146400,0.286944,0.993568,-18.059999,30.240000,-23.100000
47.047734,0.138104,0.286456,0.993568,-17.920000,30.240000,-22.960001
47.047861,0.142496,0.291824,0.994544,-17.639999,30.240000,-22.960001
47.047988,0.145424,0.291336,0.988688,-17.500000,30.240000,-22.960001
47.048114,0.141032,0.287432,0.984784,-17.219999,30.240000,-22.960001
47.048241,0.145424,0.285480,0.991128,-17.080000,30.240000,-22.960001
47.048368,0.142496,0.284504,0.993080,-16.799999,30.240000,-22.960001
47.048494,0.146400,0.287432,0.996008,-16.660000,30.240000,-22.960001
47.048621,0.143960,0.289384,0.997472,-16.379999,30.240000,-22.960001
47.048748,0.139080,0.285968,0.997960,-16.100000,30.240000,-22.960001
47.048874,0.142984,0.283528,0.998448,-15.820000,30.240000,-22.820000
47.049001,0.142496,0.284016,0.991128,-15.680000,30.240000,-22.820000
47.049128,0.141032,0.285968,0.994056,-15.400000,30.240000,-22.820000
47.049254,0.142008,0.288896,0.998936,-15.260000,30.380001,-22.960001
47.049381,0.142496,0.289384,0.998448,-14.980000,30.380001,-22.960001
47.049508,0.141520,0.284992,0.997960,-14.840000,30.380001,-22.960001
47.049634,0.140056,0.288408,0.998936,-14.700000,30.240000,-23.100000
47.049761,0.140056,0.289384,0.998936,-14.560000,30.240000,-23.100000
47.049888,0.141032,0.283040,0.999424,-14.280000,30.100000,-22.960001
47.050014,0.142008,0.284992,0.998936,-14.140000,29.960001,-22.960001
47.050141,0.144448,0.283040,0.996984,-13.860000,29.960001,-22.820000
47.050268,0.142008,0.279136,0.998936,-13.720000,29.960001,-22.820000
47.050394,0.142008,0.282064,0.996984,-13.440001,29.960001,-22.820000
47.050521,0.139568,0.279136,0.995032,-13.160000,29.960001,-22.820000
47.050647,0.140544,0.278648,1.000400,-13.020000,29.960001,-22.820000
47.050774,0.143960,0.276696,1.003816,-12.880000,29.960001,-22.820000
47.050901,0.142008,0.275720,0.998936,-12.740000,29.960001,-22.820000
47.051027,0.142496,0.281088,0.998448,-12.600000,29.960001,-22.820000
47.051154,0.145424,0.272792,0.999424,-12.460000,29.820000,-22.820000
47.051281,0.140056,0.275232,0.999424,-12.320000,29.820000,-22.820000
47.051407,0.139080,0.279136,1.005280,-12.040000,29.680000,-22.680000
47.051534,0.142008,0.275720,1.002352,-11.760000,29.680000,-22.680000
47.051661,0.143960,0.274744,0.997472,-11.480000,29.680000,-22.680000
47.051787,0.142984,0.272792,0.996984,-11.200000,29.680000,-22.680000
47.051914,0.140544,0.277672,0.999424,-11.060000,29.680000,-22.820000
47.052041,0.142984,0.277672,0.997472,-10.780000,29.540001,-22.820000
47.052167,0.137616,0.276208,0.997960,-10.640000,29.540001,-22.960001
47.052294,0.139568,0.274744,0.997472,-10.640000,29.540001,-22.960001
47.052421,0.146400,0.275720,0.996984,-10.640000,29.540001,-22.820000
47.052547,0.141032,0.272304,1.002352,-10.500000,29.400000,-22.820000
47.052674,0.138592,0.271328,1.003328,-10.360000,29.400000,-22.680000
47.052801,0.140056,0.276696,1.000400,-10.080000,29.260000,-22.680000
47.052927,0.142008,0.274744,1.000888,-9.800000,29.260000,-22.540001
47.053054,0.141520,0.276696,1.000888,-9.520000,29.260000,-22.540001
47.053181,0.138104,0.277184,1.002840,-9.240000,29.120001,-22.400000
47.053307,0.138592,0.269376,1.004304,-8.960000,29.120001,-22.400000
47.053434,0.137616,0.271328,1.002840,-8.820000,29.120001,-22.400000
47.053561,0.137128,0.273280,1.004304,-8.680000,28.980000,-22.260000
47.053687,0.139080,0.277184,1.008696,-8.540000,28.980000,-22.260000
47.053814,0.144448,0.273280,1.010648,-8.400000,28.980000,-22.260000
47.053940,0.141520,0.267424,1.001864,-8.260000,28.980000,-22.260000
47.054067,0.136640,0.273280,1.003328,-7.980000,28.980000,-22.260000
47.054194,0.138104,0.268888,1.005768,-7.840000,28.980000,-22.260000
47.054320,0.141032,0.268888,1.005280,-7.560000,28.840000,-22.400000
47.054447,0.133712,0.266936,1.008208,-7.420000,28.840000,-22.400000
47.054574,0.136640,0.262544,1.008208,-7.140000,28.840000,-22.260000
47.054700,0.141520,0.262544,1.003816,-7.000000,28.700001,-22.260000
47.054827,0.142008,0.265472,0.999424,-7.000000,28.700001,-22.120001
47.054954,0.143472,0.265472,1.002840,-6.860000,28.700001,-22.120001
47.055080,0.139080,0.263032,0.998448,-6.720000,28.559999,-22.120001
47.055207,0.139568,0.264008,0.994056,-6.580000,28.559999,-22.120001
47.055334,0.140056,0.264496,0.996984,-6.300000,28.559999,-22.120001
47.055460,0.136640,0.264984,0.999424,-6.160000,28.559999,-22.120001
47.055587,0.131272,0.271328,1.002840,-5.880000,28.559999,-22.120001
47.055714,0.139568,0.263520,0.995520,-5.740000,28.559999,-22.120001
47.055840,0.140056,0.259128,0.995032,-5.460000,28.420000,-22.120001
47.055967,0.142496,0.266448,0.999424,-5.320000,28.420000,-21.980000
47.056094,0.141032,0.262544,1.001864,-5.040000,28.420000,-21.980000
47.056220,0.134200,0.259128,1.005280,-4.900000,28.420000,-21.980000
47.056347,0.135664,0.260104,0.998936,-4.760000,28.280001,-21.980000
47.056474,0.129808,0.259616,0.999912,-4.620000,28.280001,-21.980000
47.056600,0.139568,0.262056,1.000888,-4.480000,28.139999,-21.840000
47.056727,0.143472,0.260104,1.004792,-4.340000,28.139999,-21.840000
47.056854,0.140544,0.257664,1.002840,-4.200000,28.000000,-21.840000
47.056980,0.142984,0.259128,0.997960,-3.920000,28.000000,-21.840000
47.057107,0.136640,0.258640,1.000888,-3.780000,28.000000,-21.840000
47.057234,0.137128,0.255224,0.995032,-3.500000,28.000000,-21.840000
47.057360,0.141520,0.254248,0.997960,-3.220000,28.000000,-21.840000
47.057487,0.140056,0.257664,0.999912,-2.940000,27.860001,-21.700001
47.057613,0.136152,0.259128,1.002840,-2.800000,27.860001,-21.700001
47.057740,0.134200,0.255712,0.999424,-2.660000,27.719999,-21.700001
47.057867,0.134200,0.255712,0.994544,-2.520000,27.719999,-21.559999
47.057993,0.133224,0.257664,0.998448,-2.380000,27.580000,-21.559999
47.058120,0.134688,0.253760,1.000888,-2.240000,27.440001,-21.559999
47.058247,0.132736,0.251808,0.998448,-2.100000,27.440001,-21.420000
47.058373,0.134200,0.258152,0.997472,-1.960000,27.299999,-21.420000
47.058500,0.133224,0.259128,1.000888,-1.680000,27.299999,-21.420000
47.058627,0.130296,0.257176,0.999424,-1.400000,27.299999,-21.420000
47.058753,0.130296,0.257176,1.000888,-1.260000,27.299999,-21.559999
47.058880,0.130296,0.255712,1.005768,-0.980000,27.160000,-21.559999
47.059007,0.131272,0.253760,1.006256,-0.840000,27.160000,-21.559999
47.059133,0.129320,0.254248,1.005280,-0.700000,27.020000,-21.420000
47.059260,0.134200,0.255224,1.006256,-0.560000,27.020000,-21.420000
47.059387,0.133712,0.257176,1.003328,-0.420000,27.020000,-21.420000
47.059513,0.132248,0.254736,0.998936,-0.280000,27.020000,-21.420000
47.059640,0.134200,0.251808,1.001376,-0.140000,26.880001,-21.559999
47.059767,0.133224,0.254248,1.002840,0.140000,26.880001,-21.559999
47.059893,0.136152,0.251320,0.998448,0.420000,26.880001,-21.559999
47.060020,0.131272,0.249856,0.993080,0.560000,26.880001,-21.559999
47.060147,0.130784,0.249368,0.999912,0.840000,26.880001,-21.559999
47.060273,0.131272,0.251320,1.003328,0.980000,26.740000,-21.559999
47.060400,0.129808,0.256688,0.999912,0.980000,26.600000,-21.559999
47.060527,0.131272,0.254248,0.999424,1.120000,26.460001,-21.420000
47.060653,0.128832,0.248880,0.997960,1.260000,26.460001,-21.420000
47.060780,0.131760,0.247904,0.999424,1.400000,26.320000,-21.280001
47.060906,0.130784,0.246928,0.998448,1.540000,26.320000,-21.280001
47.061033,0.125416,0.252296,0.998936,1.820000,26.320000,-21.139999
47.061160,0.127856,0.248392,1.002352,1.960000,26.180000,-21.139999
47.061286,0.128344,0.250832,0.997960,2.100000,26.180000,-21.139999
47.061413,0.131760,0.250832,0.998448,2.100000,26.180000,-21.139999
47.061540,0.134200,0.244976,1.003328,2.240000,26.180000,-21.139999
47.061666,0.127368,0.251808,0.998448,2.380000,26.180000,-21.280001
47.061793,0.130784,0.245952,1.004304,2.520000,26.180000,-21.280001
47.061920,0.131760,0.247416,1.004304,2.660000,26.180000,-21.139999
47.062046,0.127368,0.248880,1.000888,2.940000,26.180000,-21.139999
47.062173,0.122976,0.246440,1.002840,3.080000,26.040001,-21.139999
47.062300,0.126880,0.250344,0.998448,3.360000,26.040001,-21.000000
47.062426,0.130784,0.247904,1.001864,3.500000,26.040001,-21.000000
47.062553,0.125904,0.248880,1.002840,3.640000,25.900000,-21.000000
47.062680,0.125416,0.248392,0.999424,3.780000,25.760000,-21.000000
47.062806,0.122488,0.250344,0.999424,3.920000,25.760000,-21.000000
