Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
57.330944,0.016592,-0.092720,1.016016,2.660000,-1.820000,6.860000
57.331071,0.020008,-0.086864,1.019920,2.660000,-1.820000,6.860000
57.331197,0.021472,-0.087352,1.021872,2.660000,-1.960000,6.860000
57.331324,0.014640,-0.089304,1.015040,2.660000,-1.960000,6.720000
57.331451,0.011712,-0.086864,1.013088,2.660000,-1.960000,6.860000
57.331577,0.010736,-0.088816,1.015040,2.660000,-1.960000,6.860000
57.331704,0.012688,-0.088816,1.014064,2.520000,-2.100000,6.860000
57.331831,0.014640,-0.082472,1.015040,2.520000,-2.240000,6.860000
57.331957,0.010248,-0.090280,1.015040,2.380000,-2.240000,7.000000
57.332084,0.010248,-0.091744,1.016016,2.380000,-2.380000,7.000000
57.332211,0.008784,-0.089792,1.017480,2.240000,-2.660000,7.000000
57.332337,0.014152,-0.092720,1.012112,2.240000,-2.800000,6.860000
57.332464,0.016104,-0.090768,1.008696,2.380000,-2.940000,6.860000
57.332591,0.016104,-0.092232,1.009672,2.380000,-2.940000,6.860000
57.332717,0.016592,-0.092720,1.006744,2.380000,-3.080000,6.860000
57.332844,0.015128,-0.086864,1.010648,2.380000,-3.080000,6.860000
57.332971,0.018544,-0.088328,1.011624,2.380000,-3.220000,7.000000
57.333097,0.011224,-0.092232,1.006744,2.240000,-3.220000,7.000000
57.333224,0.012200,-0.092232,1.005768,2.240000,-3.360000,7.000000
57.333351,0.020496,-0.088328,1.007232,2.100000,-3.360000,7.000000
57.333477,0.018056,-0.089304,1.007720,1.960000,-3.500000,7.000000
57.333604,0.012688,-0.092232,1.005280,1.960000,-3.500000,7.000000
57.333731,0.011224,-0.093208,1.006744,1.820000,-3.640000,6.860000
57.333857,0.012688,-0.098576,1.008208,1.820000,-3.640000,6.860000
57.333984,0.021472,-0.099552,1.002840,1.680000,-3.780000,6.720000
57.334110,0.019032,-0.095160,1.003816,1.680000,-4.060000,6.720000
57.334237,0.016592,-0.097112,1.010648,1.680000,-4.200000,6.720000
57.334364,0.018544,-0.101504,1.009184,1.540000,-4.200000,6.720000
57.334490,0.021472,-0.103944,1.004304,1.540000,-4.340000,6.860000
57.334617,0.024400,-0.099552,1.005280,1.400000,-4.340000,6.860000
57.334744,0.022936,-0.097600,1.008208,1.400000,-4.340000,6.860000
57.334870,0.025376,-0.102968,1.010160,1.260000,-4.340000,6.860000
57.334997,0.028304,-0.105896,1.006744,1.120000,-4.340000,6.860000
57.335124,0.026840,-0.109800,1.005280,1.120000,-4.340000,6.860000
57.335250,0.029280,-0.107848,1.006744,1.120000,-4.480000,6.860000
57.335377,0.028792,-0.103456,1.008696,1.120000,-4.620000,6.860000
57.335504,0.030256,-0.105896,1.003328,1.120000,-4.760000,6.860000
57.335630,0.032208,-0.107360,1.002352,1.120000,-4.900000,6.860000
57.335757,0.034648,-0.109800,1.006744,1.120000,-5.040000,7.000000
57.335884,0.033184,-0.112240,1.006744,1.120000,-5.040000,7.000000
57.336010,0.031720,-0.110776,1.004304,1.120000,-5.180000,7.000000
57.336137,0.039040,-0.113216,1.000888,0.980000,-5.180000,6.860000
57.336264,0.039040,-0.111264,1.005280,0.840000,-5.180000,6.860000
57.336390,0.037576,-0.112240,1.000400,0.700000,-5.180000,6.860000
57.336517,0.043432,-0.114192,0.999912,0.700000,-5.320000,6.860000
57.336644,0.041968,-0.111264,1.002840,0.700000,-5.320000,6.860000
57.336770,0.039040,-0.116144,1.004792,0.700000,-5.460000,7.000000
57.336897,0.041480,-0.117120,1.002840,0.700000,-5.600000,7.000000
57.337024,0.040504,-0.109312,1.000400,0.840000,-5.600000,7.140000
57.337150,0.042456,-0.112728,1.000400,0.840000,-5.740000,7.280000
57.337277,0.040016,-0.113704,1.000400,0.840000,-5.740000,7.280000
57.337404,0.039528,-0.113704,0.996984,0.840000,-5.740000,7.420000
57.337530,0.041968,-0.115168,0.995520,0.700000,-5.880000,7.420000
